USE,FILE NAME,USETEST,MOVE,AVAILABLE,DURATION,CHANNEL,NOTES,SCALE,FEELING,ROOM / DEVICE,STAGE,MOTION,LIGHT,COLOR,O,P,Q,R,S,T,U,V,w
Y,Route03141015_V1-0016.mov,,,UPLOADED,0:15:00,ALICE,wall sticker. Delft abandonado,graphic,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01505876_V1-0017.mov,,,UPLOADED,0:20:00,BOB,KPN tower,landscape,lonely,Route Hague,Transmission,Still,Light,,,,,,Cine,MILD,,,
Y,Route01513459_V1-0018.mov,,,UPLOADED,0:15:00,ALICE,kpn tower and building close up wondows,landscape,lonely,Route Hague,Transmission,Still,Light,,,,,,Cine,MILD,,,
Y,Route01516635_V1-0019.mov,,,UPLOADED,0:10:00,ALICE,kpn tower con arboles. hoajs moviendose. loopear?,landscape,lonely,Route Hague,Transmission,Still,Light,,,,,,Cine,MILD,,,
Y,Route01521023_V1-0020.mov,,,UPLOADED,0:09:00,ALICE,knp tower cielo,landscape,lonely,Route Hague,Transmission,Still,Light,,,,,,Cine,MILD,,,
Y,Route01527094_V1-0021.mov,,,UPLOADED,0:08:16,BOB,kmp building and bridge,landscape,lonely,Route Hague,Transmission,Panning,Light,,,,,,Cine,MILD,,,
Y,Route01528649_V1-0022.mov,,,UPLOADED,0:15:00,BOB,knp tower cielo,landscape,lonely,Route Hague,Transmission,Still,Light,,,,,,Cine,MILD,,,
Y,Route01544619_V1-0023.mov,,,UPLOADED,0:10:00,BOB,kpn tower sign,landscape,lonely,Route Hague,Transmission,Still,Light,,,,,,Cine,MILD,,,
Y,Route00000000_V1-0024.mov,,,UPLOADED,0:18:07,ALICE,lavarropas y montaña de tierra,landscape,lonely,Route Rijswijk,Transmission,Panning,,,Light,,,,,MILD,,Cine,
Y,Route01436615_V1-0025.mov,,,UPLOADED,0:15:00,BOB,espejo,landscape,lonely,Route Rijswijk,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01428195_V1-0026.mov,,,UPLOADED,0:15:00,ALICE,cables con plantas,landscape,lonely,Route Rijswijk,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01409477_V1-0027.mov,,,UPLOADED,0:25:00,ALICE,cables en la tierra angle shot,landscape,lonely,Route Rijswijk,Transmission,Still,,,Light,,,,,MILD,,Cine,
